num,category,type,treatment,hedgerow,broadleaved_class,length,bl_buff100,pine_height_mean,open_width,T_moy,T_max,T_min,H_moy,H_max,H_min,herb_cover,shrub_cover,tree_cover,total_cover,tree_H,PCA_lines_local_axis1,PCA_lines_local_axis2,PCA_plant_species_axis1,PCA_plant_species_axis2,CA_plant_species_axis1,CA_plant_species_axis2,plant_richness,herbaceous,shrub,tree
1,hedgerows,NC_LB,NC,Yes,LB,103,0,13.45,18,19.08998635,26.19,12.59,81.34696009,96.70356303,57.84443697,24,20.6666666666667,49,93.6666666666667,1.44917553573076,0.479014543457263,0.180430595029283,3.74419663663445,3.7995551671044,-0.315100838813177,0.00321698152692969,20,15,8,6
2,hedgerows,C_HB,C,Yes,HB,300,27.8,8.63,13.23,19.44028374,26.37,13.35,76.72360739,90.28303361,56.21143697,44.8333333333333,0.2,76.3333333333333,121.366666666667,0.431253644563013,-2.68875564748221,4.00280276326967,1.03354933266472,-2.43620222863288,0.618340962322844,0.146993476944404,17,16,3,2
3,hedgerows,NC_HB,NC,Yes,HB,306,0,18,15.9,19.40562227,25.89,13.76,83.95891878,98.57459664,60.4614958,14.5,35.1666666666667,69.6666666666667,119.333333333333,0.801928637202918,0.420931536140701,2.07594835761869,5.55048508968694,-6.4365286181277,-0.280316312470468,0.149592667034763,15,14,6,3
4,hedgerows,NC_HB,NC,Yes,HB,187,0,13.25,18.3,19.24350621,25.76,12.87,82.01979625,98.4720084,58.0539916,56,5,46.3333333333333,107.333333333333,1.13622718721045,1.29399140541703,0.630267006814261,0.827723649314474,0.77167994902327,-0.411352666332531,0.00718267997662337,10,7,5,6
5,pine_edge,CT_LB,CT,No,LB,219,0,9.26,16.53,19.62516331,28.15,12.3,78.64925888,96.75630252,50.65608403,9,41.8333333333333,63,113.833333333333,0,-3.64261307551362,-1.55789446237153,-2.78577710340191,-0.610079314435852,-0.391043231443883,0.472587975641834,16,14,7,1
6,hedgerows,C_HB,C,Yes,HB,181,11.4,20.36,20.57,19.17012778,25.42,13.09,82.31806179,98.35961345,58.50588235,73.8333333333333,13,53,139.833333333333,1.27355129978274,2.00554228660141,2.76606707804191,4.95750156332234,10.2262996772131,-0.560431464468245,-0.119854863782803,18,13,5,5
7,hedgerows,C_LB,C,Yes,LB,325,8.4,15.68,15.3,19.60332487,26.33,13.24,78.17666865,92.33010924,57.10233613,58.5,18.5,53,130,0.671451912009044,-1.66260488277702,2.90787688635223,0.343530278047065,0.622516672306437,-0.536348842066815,0.125158289671863,14,12,5,2
9,hedgerows,NC_LB,NC,Yes,LB,150,0,7.11,14.67,19.34383249,26.12,12.85,83.14142202,99.49569748,58.145,37.8333333333333,6.7,83,127.533333333333,1.16819879288081,0.710577303416694,0.320678039509848,0.86478207572513,0.537574135274009,0.686555610197584,-0.429358646424162,18,16,6,4
10,pine_edge,CT_LB,CT,No,LB,195,0,14.28,48.67,19.81923788,27.2,13.24,78.83850516,95.33935294,54.88476471,56,22,56,134,0,-1.35200161475606,0.170484640750645,-1.60748331251863,0.174174887616782,-0.526916988073904,-0.094745703253,8,8,5,1
11,hedgerows,C_LB,C,Yes,LB,101,9.2,7.51,15.5,18.99787047,26.16,12.26,84.19052897,99.54347899,59.35489076,76.3333333333333,12.1666666666667,51.5,140,0,2.38350191791707,-0.494448170156825,0.122102256833691,0.895198511801949,-0.578213607817887,-0.116787255610263,12,9,5,1
12,hedgerows,C_LB,C,Yes,LB,150,6.9,7.14,21.03,19.29002013,26.64,12.23,76.31577507,92.76639496,52.86978992,11,46.3333333333333,42,99.3333333333333,1.05678366321415,-2.9411444364147,0.0524595251908707,-1.98041272469141,-1.41045749021599,-0.118618852838788,-0.179802850411422,13,10,8,3
13,hedgerows,NC_HB,NC,Yes,HB,180,0,12.15,14.4,19.33592106,25.8,13.51,82.93485297,98.01442857,59.63631933,18.5,35.1666666666667,76.3333333333333,130,0.22034892717374,0.429129369896554,1.01701454517324,0.168571040031838,-1.76728511392883,0.201995529314781,0.0534182923055979,10,8,7,2
14,pine_edge,CT_HB,CT,No,HB,128,0,7.72,61.53,19.18084264,25.77,12.94,86.2622027,99.68787395,63.73663866,39.8333333333333,37.3333333333333,14.1666666666667,91.3333333333333,0,3.18192540115834,-1.92408851121991,-1.30124130995429,0.343745666301003,-0.807097827798257,0.218443603827519,13,9,7,1
15,pine_edge,CT_LB,CT,No,LB,210,0,4.99,16.47,19.40096604,26.94,11.97,82.22334203,99.30252101,56.36646218,49,13,0,62,0,-0.0605953420735912,-3.22235383382715,-3.16929651551151,0.414926891930382,0.861433714465986,-1.12703627781085,13,13,3,0
16,hedgerows,NC_LB,NC,Yes,LB,100,0,12.27,33.17,19.39550464,25.84,13.43,82.2576886,98.17933613,58.48654622,56,0.166666666666667,63,119.166666666667,0,1.56777822464551,0.179799351955994,-0.127524850627497,0.155175336628212,-1.40563920594609,0.43995914704102,20,20,1,1
17,hedgerows,C_HB,C,Yes,HB,274,13,12.26,10.77,19.3511003,26.37,13.28,77.0568731,96.75630252,50.65608403,25.6666666666667,27.6666666666667,51,104.333333333333,0.346139057567551,-2.53530686001722,1.41901906282409,-0.162062258831164,-2.19027878429101,-0.136559645236407,-0.108952653439902,15,13,4,3
18,pine_edge,CT_HB,CT,No,HB,170,0,4.07,10.47,19.54438824,27.4,12.19,79.00925136,97.63738655,51.79221008,35.1666666666667,14.5,76.3333333333333,126,0,-2.28303241805399,-1.45025759305417,-2.21120726239865,0.074083278346789,-0.303938473133139,-0.0898265844547541,11,9,6,1
19,hedgerows,NC_LB,NC,Yes,LB,311,0,8.05,15.7,19.03286469,25.9,12.65,83.94341274,98.32747059,60.55445378,33.1666666666667,14.2,69.6666666666667,117.033333333333,0.278065938512048,1.21100240197657,0.528648357402114,0.927697781103902,0.330021475444458,0.176328283409873,0.0116233688274641,12,12,7,3
20,hedgerows,C_HB,C,Yes,HB,256,16.6,19.13,18.73,19.06716366,25.07,13.01,82.54329582,95.94011765,61.84794958,76.3333333333333,4.36666666666667,69.6666666666667,150.366666666667,0,2.34511799209658,3.61317248172629,0.864632738653189,-0.0871977300948556,-0.0491041680466616,-0.174465665894697,10,8,5,1
21,hedgerows,NC_LB,NC,Yes,LB,134,0,8.67,15.33,19.10138264,26.27,11.82,83.92015754,99.07743697,59.79348739,69.6666666666667,51,44.3333333333333,165,0.198515243345873,1.75831050064876,-0.928334311346512,0.449623896938867,1.13518486341862,0.115690091335698,0.323090834338677,16,13,7,2
22,pine_edge,CT_LB,CT,No,LB,103,0,11.69,25.07,18.97966637,26.18,11.71,84.57408507,98.95463025,61.1917563,87.1666666666667,14.3333333333333,22,123.5,0,3.30832848983891,-1.61923174083493,-1.73632167732285,1.22366563535951,-0.325817542453508,0.0522296928311887,10,8,4,1
23,pine_edge,CT_HB,CT,No,HB,128,0,11.24,13.67,19.32564397,26.51,12.84,84.94034973,99.83068067,60.24485714,56,4.83333333333333,22.6666666666667,83.5,0,1.88619977218409,-1.69429811168328,-1.99703175696829,0.128594850512018,0.268981930591634,0.188200236909709,10,10,2,1
24,hedgerows,C_HB,C,Yes,HB,186,7.8,7.91,16.67,19.31039279,25.86,12.86,79.86078225,94.52110924,59.09532773,63,56,83,202,0.260283332638099,-0.261201061383882,2.36838221884432,9.25762342635451,-3.21187656909244,0.985406841474995,0.662582201903927,14,12,7,3
25,hedgerows,NC_HB,NC,Yes,HB,132,0,11.06,19.5,19.48103938,27.11,12.21,84.12833205,99.7922521,59.0039916,62.6666666666667,4.36666666666667,83,150.033333333333,0.567656697104666,1.08459951002125,-0.503707376978291,-1.51171281060115,0.489203161073881,-0.151268129915759,-0.185295901380027,8,8,2,2
27,hedgerows,NC_HB,NC,Yes,HB,168,0,14.27,15.97,19.3075344,27.12,12.53,82.7468773,98.76157143,57.49008403,22.6666666666667,11,76.3333333333333,110,0.27955336118358,0.0324768877016621,-0.455888144986213,3.76680796050423,-3.14136179100267,0.201692800806551,-0.0103262400505176,16,14,8,2
28,hedgerows,C_LB,C,Yes,LB,166,8.2,7.09,29.73,19.15695939,26.51,11.78,83.97915088,99.94137815,57.88023529,53,28.1666666666667,56,137.166666666667,0.532264942815278,1.19890234546004,-0.841370623379086,-3.80865951622838,-0.174545645422413,-0.0722784691878613,-0.596662659538548,16,14,6,2
29,hedgerows,NC_HB,NC,Yes,HB,145,0,10.41,11.4,19.30598512,26.68,12.34,83.9829081,99.49621849,59.37191597,69.6666666666667,4.53333333333333,39.3333333333333,113.533333333333,0.378955719065111,1.60334483288582,-1.17364834422472,-1.12555451881122,0.358247991158652,1.1048710572275,1.91464154617782,8,5,5,2
30,hedgerows,C_HB,C,Yes,HB,155,6.7,13.65,19.53,19.34422055,26.06,13.24,82.4488843,97.22789916,58.71270588,11,16.3333333333333,76.3333333333333,103.666666666667,0.950259044491812,0.0451067641414132,1.31911274156001,1.72705604061231,-1.77257883839941,0.752734509053635,-0.41855126656546,12,10,6,3
31,hedgerows,NC_LB,NC,Yes,LB,183,0,16.61,18,19.45178663,26.64,12.7,83.02488447,99.38602521,57.35065546,56,7,69.6666666666667,132.666666666667,0.14301345535068,0.844833463472644,0.140692043755673,-0.15551569492742,0.568548866569121,-0.511868577752153,-0.362211078018359,18,16,6,2
32,pine_edge,CT_LB,CT,No,LB,269,0,7.26,14.07,19.21944758,27.17,11.69,82.58501418,99.88760504,54.42652941,33.1666666666667,18.3333333333333,51.8333333333333,103.333333333333,0,-0.506747709538352,-1.97841780877671,-2.17020402839317,0.181211231610221,-0.208116087538253,-0.230080318992346,13,11,5,1
33,hedgerows,C_LB,C,Yes,LB,189,6,9.96,18.27,19.43473674,27.19,12.04,76.19417556,95.59003361,49.05839496,29.6666666666667,33.6666666666667,73.8333333333333,137.166666666667,0.692976966248013,-3.23943769566526,0.215090879539434,-0.267542198349794,-2.05369206901458,0.536408109129594,-0.237706858827739,17,16,4,2
34,pine_edge,CT_HB,CT,No,HB,119,0,8.26,17.2,19.83911518,28.47,12.02,79.90516331,98.94317647,51.57976471,13,33.6666666666667,16.5,63.1666666666667,0,-3.10144508090661,-4.09507845109105,-3.03055050775618,-0.405234656292142,-0.282300551235255,-0.117560382262174,6,5,5,1
35,pine_edge,CT_LB,CT,No,LB,203,0,7.57,15.2,19.58156135,26.64,12.32,80.83239681,99.36120168,54.53979832,29.5,8.83333333333333,28,66.3333333333333,0,-0.967116459019489,-2.29601419835187,-4.20428314627721,-0.530027419455597,-0.360070056122339,-0.102533240280276,11,11,6,1
36,hedgerows,C_LB,C,Yes,LB,146,8.3,8.13,14,19.66150796,26.75,12.9,79.46843287,97.53776471,54.3272605,11,63,69.3333333333333,143.333333333333,0.654671305565051,-2.54861266547646,0.327085106923779,3.26905231679058,3.89779733477897,-1.98725438627708,0.628973354516432,18,14,8,5
